epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3033.98,1.50035,1.51318,1.33234,0.2454,0.34853,0.2289,0.11703,1.82768,2.46174,1.62446,0.00912875,0.00912875,0.00912875
43,3105.93,1.47999,1.49284,1.32188,0.26279,0.35748,0.25062,0.12601,1.84381,2.40736,1.64724,0.0091075,0.0091075,0.0091075
44,3177.92,1.47853,1.48839,1.32936,0.29465,0.35277,0.25894,0.1315,1.82231,2.28855,1.63048,0.00908625,0.00908625,0.00908625
45,3249.94,1.46472,1.46069,1.31153,0.34052,0.32112,0.26473,0.136,1.78874,2.36528,1.59628,0.009065,0.009065,0.009065
46,3321.88,1.46302,1.45823,1.30723,0.29758,0.30522,0.254,0.13049,1.80051,2.34466,1.61958,0.00904375,0.00904375,0.00904375
47,3393.95,1.45649,1.43835,1.30026,0.27327,0.32338,0.25567,0.13186,1.82187,2.51828,1.61367,0.0090225,0.0090225,0.0090225
48,3465.79,1.44826,1.43083,1.30268,0.292,0.40132,0.28523,0.14919,1.79157,2.26973,1.59831,0.00900125,0.00900125,0.00900125
49,3537.74,1.45777,1.46253,1.30711,0.28737,0.38599,0.27658,0.13627,1.86464,2.32493,1.6471,0.00898,0.00898,0.00898
50,3609.74,1.43447,1.39381,1.29034,0.27654,0.35032,0.259,0.13084,1.80396,2.32286,1.627,0.00895875,0.00895875,0.00895875
51,3681.68,1.43122,1.38111,1.28998,0.30901,0.29301,0.24478,0.12199,1.8734,2.59028,1.64919,0.0089375,0.0089375,0.0089375
52,3753.55,1.40142,1.37681,1.28353,0.26603,0.34005,0.2561,0.12643,1.87912,2.47815,1.65335,0.00891625,0.00891625,0.00891625
53,3825.54,1.39199,1.35998,1.27045,0.34214,0.35843,0.30946,0.1586,1.82957,2.30988,1.62342,0.008895,0.008895,0.008895
54,3897.35,1.39106,1.33939,1.27614,0.2843,0.36212,0.27146,0.13861,1.85033,2.4759,1.66063,0.00887375,0.00887375,0.00887375
55,3969.21,1.38921,1.32894,1.26382,0.35234,0.30651,0.27022,0.13922,1.83232,2.39815,1.60063,0.0088525,0.0088525,0.0088525
56,4041.29,1.35044,1.30232,1.2473,0.3054,0.34712,0.27915,0.13781,1.83204,2.32169,1.65224,0.00883125,0.00883125,0.00883125
57,4113.26,1.36575,1.30228,1.24628,0.32243,0.34066,0.26267,0.13268,1.80129,2.54261,1.61865,0.00881,0.00881,0.00881
58,4185.21,1.34461,1.27674,1.24408,0.31502,0.38699,0.28594,0.14376,1.86105,2.39111,1.66869,0.00878875,0.00878875,0.00878875
59,4257.11,1.34103,1.27668,1.23814,0.30482,0.37328,0.28602,0.14146,1.83824,2.43584,1.6328,0.0087675,0.0087675,0.0087675
60,4329.15,1.35183,1.2767,1.24986,0.3185,0.36388,0.24126,0.12164,1.78344,2.46639,1.60844,0.00874625,0.00874625,0.00874625
61,4401.06,1.31905,1.23692,1.22748,0.35197,0.35708,0.27857,0.13681,1.87639,2.32632,1.68108,0.008725,0.008725,0.008725
62,4473.04,1.30624,1.21893,1.21792,0.25595,0.35986,0.24885,0.13185,1.86518,2.60588,1.65598,0.00870375,0.00870375,0.00870375
63,4545.06,1.31433,1.25172,1.22038,0.3318,0.40118,0.29222,0.14873,1.81052,2.40086,1.64204,0.0086825,0.0086825,0.0086825
64,4616.9,1.30313,1.24729,1.21141,0.31218,0.35766,0.27385,0.1354,1.80629,2.46709,1.62478,0.00866125,0.00866125,0.00866125
65,4688.85,1.28665,1.19584,1.19216,0.32609,0.33427,0.23761,0.12261,1.85013,2.71584,1.67165,0.00864,0.00864,0.00864
66,4760.8,1.29142,1.2058,1.20433,0.30329,0.36379,0.26664,0.13794,1.81488,2.47763,1.645,0.00861875,0.00861875,0.00861875
67,4832.81,1.27557,1.20263,1.2057,0.30064,0.34268,0.26368,0.13478,1.86993,2.52005,1.70438,0.0085975,0.0085975,0.0085975
68,4904.82,1.28681,1.18637,1.20457,0.35297,0.31575,0.26606,0.13018,1.90674,2.54566,1.70316,0.00857625,0.00857625,0.00857625
69,4976.76,1.27386,1.14612,1.2049,0.33477,0.36216,0.26717,0.12744,1.9207,2.52733,1.73109,0.008555,0.008555,0.008555
70,5048.69,1.26895,1.13425,1.19964,0.36423,0.30319,0.25599,0.12491,1.92292,2.66093,1.74798,0.00853375,0.00853375,0.00853375
